,text,start,duration
0,"be less than 90 degrees and for the negative
points w transpose x is actually less than",434.19,4.91
0,0.,439.1,1.0
0,"That means, cos alpha would be less than 0
that means alpha would be greater than 90",440.1,3.349
0,"degrees, right.",443.449,1.0
0,"So, it actually follows from the formula itself,
but it is also clear from the figure.",444.449,3.081
0,"So, keeping this picture in mind let us revisit
the algorithm, ok.",447.53,5.19
0,"So, this is the algorithm, ok.",452.72,2.35
0,"Now, let us look at the first condition which
was this.",455.07,4.599
0,"Now, if x belongs to p and w transpose x is
less than 0, then means that the angle between",459.669,7.47
0,"x and the current w is actually greater than
90 degrees, but what do we want it to be?",467.139,5.851
0,"Less than 90 degrees and our solution to do
this is, but we still do not know why this",472.99,5.57
0,works?,478.56,1.0
0,"Now, anyone knows why this works?",479.56,1.15
0,"So, let us see why this works.",480.71,3.079
0,"So, what is the new cos alpha going to be?",483.789,2.68
0,"It is going to be proportional to this, right.",486.469,3.161
0,It is going to be proportional to this.,489.63,2.249
0,"I will just substitute what w new is, fine.",491.879,6.1
0,"That means, if cos alpha new is going to be
greater than cos alpha, what is alpha new",497.979,5.881
0,going to be?,503.86,1.0
0,"It will be less than and that is exactly what
we wanted.",504.86,2.529
0,This angle was actually greater than 90 degrees.,507.389,2.06
0,"So, you want to slowly move it such that it
becomes less than 90 degrees.",509.449,3.601
0,"It is not going to get solved in one iteration
and that is why till convergence.",513.05,3.67
0,"So, we will keep doing this.",516.72,1.23
0,"I will keep picking xs again and again till
it reaches convergence.",517.95,3.83
0,"That means, till we are satisfied with that
condition, right.",521.78,2.75
0,"Let us look at the other condition x belongs
to n and w transpose x was greater than equal",524.53,5.99
0,"to 0, then it means that the angle alpha is
actually less than 90 degrees and we want",530.52,6.76
0,"it to be the opposite, ok.",537.28,1.62
0,"I will just quickly skim over this w minus
this x, right.",538.9,5.32
0,"Ok I forgot to mention that this is actually
a positive quantity, right.",544.22,3.46
0,"I mean that is why that result holds, ok.",547.68,3.19
0,"That means, cos alpha new is going to be less
than cos alpha and this slight bit of mathematical",550.87,6.48
0,"in correctness, I am doing here, but that
does not affect the final result.",557.35,5.29
0,"So, I will just gloss over that and you can
go home and figure it out, but still it does",562.64,4.76
0,"not take away from the final intuition and
interpretation, right.",567.4,2.99
0,"So, now the new cos alpha is going to be less
than the original cos alpha; that means, the",570.39,5.5
0,"angle is going to be greater and that exactly
what we wanted, ok.",575.89,3.71
0,"So, we will now see this algorithm in action
for a toy data set.",579.6,4.16
0,"So, this is the toy data set we have and we
have initialized w to a random value and that",583.76,5.31
0,"turns out to be this, right.",589.07,1.34
0,"I just picked up some random value for w and
ended up with this particular configuration",590.41,4.61
0,"for w. ok
Now, we observe that currently w transpose",595.02,7.81
0,"x is less than 0 for all the positive points
and it is actually greater than equal to 0",602.83,5.33
0,for all the negative points.,608.16,1.0
0,"If you do not understand w transpose x, it
is just that the all the positive angle points",609.16,4.43
0,"actually have a greater than 90 degree angle
and all the negative points actually have",613.59,3.74
0,a less than 90 degree angle.,617.33,1.02
0,"So, this is exactly opposite of the situation
that we want and now from here on, we want",618.35,4.82
0,"to actually run the perceptron algorithm,
right and try to fix this w.",623.17,4.9
0,How does it work?,628.07,2.71
0,"Remember we randomly pick a point, ok.",630.78,1.86
0,"So, say we pick the point p1, do we need to
apply a correction?",632.64,4.72
0,Yes.,637.36,1.0
0,Yes.,638.36,1.0
0,"Why, because it is a positive point and the
condition is violated, right.",639.36,3.35
0,"So, now we add w equal to w plus x and we
get this new w.",642.71,5.48
0,"So, notice that we have a new w, ok.",648.19,2.33
0,"We again repeat this, we again pick a new
point and this time we have picked p2.",650.52,5.81
0,Do we need a correction?,656.33,1.08
0,Yes.,657.41,1.0
0,"At least from the figure it looks like the
angle is greater than 90, right.",658.41,2.1
0,"So, we will again do a correction.",660.51,1.4
0,"We will add w is equal to w plus p, right.",661.91,2.69
0,"This x is actually, sorry p2 and this is where
we end up, ok.",664.6,6.06
0,"Now, again we pick a point randomly n1.",670.66,4.01
0,Do we need a correction?,674.67,1.36
0,"So, this is what our w is.",676.03,2.65
0,"This line here and n1, right.",678.68,3.16
0,"So, we need a correction, ok.",681.84,2.46
0,"Now, what is the correction going to be?",684.3,1.161
0,"It will be minus and then, the w changes,
ok.",685.461,5.379
0,"Now, we pick another point n3.",690.84,2.28
0,Do we need a correction?,693.12,1.23
0,"No at least on the figure it seems like the
angle is greater than 90 and we continue this,",694.35,4.73
0,right.,699.08,1.0
0,"For n2, we do not need a correction.",700.08,2.4
0,"Now, for p3 again we do not need a correction.",702.48,2.15
0,The angle looks less than 90.,704.63,2.49
0,Sorry actually it is we need a correction.,707.12,1.151
0,"The angle is slightly greater than 90 and
this is our correction, and now we keep cycling.",708.271,4.999
0,"Now, as I keep cycling over the points, I
realize that I no longer need any correction.",713.27,4.7
0,"It should be obvious from the figure that
for this particular value of w, now all my",717.97,4.81
0,"positive points are making an angle less than
90 and all my negative points are actually",722.78,4.07
0,making an angle greater than 90.,726.85,1.97
0,"That means, by definition now my algorithm
has converged, right.",728.82,3.72
0,"So, I can just stop it.",732.54,1.64
0,"So, I can just make one pass over the data.",734.18,1.76
0,"If nothing changes, I will just say it has
converged, ok.",735.94,3.6
0,"Now, does anyone see a problem with this?",739.54,4.08
0,Never converge.,743.62,1.0
0,It will never converge in some cases.,744.62,1.0
0,"So, can someone tell me why?",745.62,1.0
0,"We are considering only cases where the data
is linearly separable, right.",746.62,5.27
0,That we already assumed.,751.89,1.17
0,"So, what you are trying to tell me is that
you are going over these points cyclically.",753.06,3.35
0,"So, let me just rephrase and put words in
your mouth that what you are trying to tell",756.41,4.32
0,"me actually is that I take a point, I adjust
w, but now for the next point I maybe go back",760.73,6.31
0,"to the same w because that point asked me
to move it again and I keep doing this again",767.04,3.75
0,"and again and basically, end up nowhere, right.",770.79,3.16
0,That is why this will never converge.,773.95,1.96
0,"That is exactly what you are trying to tell
me, right.",775.91,2.03
0,"Now, that is exactly what I am forcing you
to tell me.",777.94,3.03
0,"So, that is not the case, right.",780.97,1.98
0,This algorithm will converge.,782.95,1.28
